# System                       SpT1         SpT2            Pday  Vmag   BmV   logM1   logM1e  logM2   logM2e  logR1   logR1e  logR2   logR2e  logg1   logg1e  logg2   logg2e  logT1   logT1e  logT2   logT2e  logL1   logL1e  logL2   logL2e  MoH     MoHe                                                 
V636_Cen                       G0_V         none            4.284  8.70  0.62  0.0220  0.0021 -0.0685  0.0015  0.0077  0.0017 -0.0809  0.0021  4.4440  0.0040  4.5320  0.0050  3.7710  0.0060  3.6990  0.0090  0.0500  0.0300 -0.4100  0.0400 -0.2000  0.0800
OGLE-BLG-ECL-305487            KO_III       K2_III        176.655 18.20  1.70  0.0253  0.0082 -0.0039  0.0079  1.2849  0.0063  1.4770  0.0035  1.8930  0.0130  1.4800  0.0050  3.6280  0.0420  3.6000  0.0270  2.0300  0.1700  2.3100  0.1100  0.0500  0.3500
EPIC_219394517                 G            G               6.527 11.34  0.64  0.0327  0.0008  0.0278  0.0010  0.0233  0.0045  0.0179  0.0050  4.4247  0.0094  4.4303  0.0097  3.7730  0.0070  3.7690  0.0070  0.0910  0.0310  0.0660  0.0310  0.0700  0.0300
V432_Aur                       none         none            3.082  8.15  0.70  0.0334  0.0056  0.0792  0.0065  0.0899  0.0021  0.3909  0.0035  4.2900  0.0080  3.7400  0.0100  3.8250  0.0060  3.7840  0.0060 -9.9900 -9.9900 -9.9900 -9.9900 -0.6000  0.0500
V963_Cen                       G1_IV-V      G1_IV-V        15.269  8.60  0.64  0.0339  0.0012  0.0315  0.0012  0.1600  0.0016  0.1527  0.0021  4.1520  0.0030  4.1640  0.0040  3.7640  0.0040  3.7650  0.0050  0.3320  0.0180  0.3200  0.0210 -0.0600  0.0500
V568_Lyr                       none         none           14.470 17.34  0.94  0.0361  0.0016 -0.0822  0.0012  0.1452  0.0040 -0.1072  0.0029  4.1840  0.0078  4.5698  0.0059  3.7520  0.0070  3.6830  0.0130 -9.9900 -9.9900 -9.9900 -9.9900  0.2800  0.0500
EPIC_210822691                 none         none            8.074 11.37  0.59  0.0374  0.0040 -0.0177  0.0090  0.0969  0.0035 -0.0269  0.0046  4.2860  0.0210  4.4730  0.0330  3.7750  0.0090  3.7450  0.0120  0.2450  0.0280 -0.1180  0.0380  0.0000  0.0500
OGLE-BLG-ECL-296596            K6_III       K8_III        155.658 15.48  1.26  0.0386  0.0060  0.0512  0.0054  1.2567  0.0067  1.4742  0.0048  1.9630  0.0130  1.5410  0.0110  3.6250  0.0140  3.5990  0.0130  1.9640  0.0670  2.2970  0.0600 -0.0700  0.1500
V1094_Tau                      G0_V         G3_V            8.989  8.97  0.70  0.0400  0.0016  0.0052  0.0012  0.1495  0.0018  0.0439  0.0026  4.1790  0.0040  4.3550  0.0050  3.7670  0.0070  3.7560  0.0080  0.3200  0.0300  0.0500  0.0300 -9.9900 -9.9900
TOI-1338                       none         none           14.608 11.98  0.56  0.0406  0.0067 -0.5129  0.0042  0.1136  0.0084 -0.5207  0.0084  3.7770  0.0080  3.5210  0.0090  4.2510  0.0170  4.9670  0.0160 -9.9900 -9.9900 -9.9900 -9.9900  0.0100  0.0500
